nb_nodes;nb_suppliers; #  ligne obligatoire : les noeud 0..nb_nodes et les suppliers 0..nbsuppliers-1 
45;10;
id_nodes;list_suppliers;  #  Attention 2 separateurs
24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
26;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
28;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
29;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
32;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
34;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
36;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
37;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
38;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
42;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
43;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
44;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
45;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
