run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
COMP-bom_5-EMISTAXE-PLM,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,50,2500000,,48441,48412.015,48280,,,132.015,0,0,2640300,2932200,9.9549826069163,,,29,6.4516129032258,,3,4.8333333333333,1,OPTIMAL,0.05,0,1,
COMP-bom_5-EMISTAXE-NLM,bom_5,bom_supemis_5.csv,EMISTAXE,NLM,1,10,50,2500000,,48441,48412.015,48280,,,132.015,0,0,2640300,2932200,9.9549826069163,,,29,6.4516129032258,,3,4.8333333333333,1,FEASIBLE,300.052,5.52,0,GAP_ABOVE_THRESHOLD
COMP-bom_5-EMISCAP-PLM,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2492370,,50291,50264,50264,,,0,0,0,2246000,2932200,23.402223586386,,,27,12.903225806452,,4,4.5,1,OPTIMAL,0.05,0,1,
COMP-bom_5-EMISCAP-NLM,bom_5,bom_supemis_5.csv,EMISCAP,NLM,1,10,0,2492370,,50291,50264,50264,,,0,0,0,2246000,2932200,23.402223586386,,,27,12.903225806452,,4,4.5,1,OPTIMAL,0.233,0,1,
COMP-bom_13-EMISTAXE-PLM,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,50,2500000,,106800,106679.6439,105568.8,,,1110.8439,0,0,22216878,29495946,24.678198149671,,,116,14.074074074074,,7,8.2857142857143,3,OPTIMAL,0.06,0,1,
COMP-bom_13-EMISTAXE-NLM,bom_13,bom_supemis_13.csv,EMISTAXE,NLM,1,10,50,2500000,,106800,106679.6439,105568.8,,,1110.8439,0,0,22216878,29495946,24.678198149671,,,116,14.074074074074,,7,8.2857142857143,3,FEASIBLE,300.036,12.58,0,GAP_ABOVE_THRESHOLD
COMP-bom_13-EMISCAP-PLM,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,25071554,,105640,105510,105512.8,,,-2.8000000000029,0,0,23811150,29495946,19.2731435025,,,124,8.1481481481481,,7,8.8571428571429,3,OPTIMAL,0.06,0,1,
COMP-bom_13-EMISCAP-NLM,bom_13,bom_supemis_13.csv,EMISCAP,NLM,1,10,0,25071554,,105640,105510,105512.8,,,-2.8000000000029,0,0,23811150,29495946,19.2731435025,,,124,8.1481481481481,,7,8.8571428571429,3,FEASIBLE,300.023,11.93,0,GAP_ABOVE_THRESHOLD
COMP-bom_26-EMISTAXE-PLM,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,50,2500000,,869630,869198.72,867120,,,2078.72,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.09,0,1,
COMP-bom_26-EMISTAXE-NLM,bom_26,bom_supemis_26.csv,EMISTAXE,NLM,1,10,50,2500000,,869630,869198.72,867120,,,2078.72,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,FEASIBLE,300.051,48.51,0,GAP_ABOVE_THRESHOLD
COMP-bom_26-EMISCAP-PLM,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,35338240,,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.36,0,1,
COMP-bom_26-EMISCAP-NLM,bom_26,bom_supemis_26.csv,EMISCAP,NLM,1,10,0,35338240,,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,FEASIBLE,300.041,50.81,0,GAP_ABOVE_THRESHOLD
